Defense,Offense,Text
Akron,Temple,"Justin Lynch pass complete to Jadan Blue for 2 yds to the Temp 29 TEMPLE Penalty, unsportsmanlike conduct (Randle Jones) declined"
Akron,Temple,"Justin Lynch pass complete to Jadan Blue for 6 yds to the Temp 45 TEMPLE Penalty, personal foul (Randle Jones) declined"
Akron,Temple,"TEMPLE Penalty, false start (Randle Jones) declined"
Temple,Akron,"DJ Irons run for a loss of 2 yards to the Akron 21 AKRON Penalty, Offensive holding ( Yards) declined"
Temple,Akron,"DJ Irons run for 2 yds to the Temp 34 AKRON Penalty, Offensive holding ( Yards) declined"
Temple,Akron,"Ethan Slike punt for 54 yds , Amad Anderson Jr. returns for 35 yds to the Akron 46 AKRON Penalty, substitution infraction ( Yards) declined"
Western Michigan,Akron,"Zach Gibson pass incomplete AKRON Penalty, Ineligible Receiver Downfield on Pass on GRAY, Xavior ( Yards) declined"
Akron,Western Michigan,"WESTRN MICHIGAN Penalty, Offensive Holding ( Yards) declined"
Akron,Toledo,"TOLEDO Penalty, Ineligible Receiver Downfield on Pass on GURMAN, Vitaliy ( Yards) declined"
Alabama,Ole Miss,"Bo Wallace pass complete to Laquon Treadwell for 16 yds to the Miss 34 for a 1ST down ALABAMA Penalty, Defensive Pass Interference (Cyrus Jones) declined for a 1ST down"
Ole Miss,Alabama,"Derrick Henry run for a loss of 9 yards to the Miss 24 ALABAMA Penalty, Offensive Holding (O.J. Howard) declined"
Alabama,Western Carolina,"Troy Mitchell pass complete to Karnorris Benson for 9 yds to the WCaro 34 ALABAMA Penalty, Defensive Offside ( Yards) declined"
Wisconsin,Alabama,"Kenyan Drake run for a loss of 2 yards to the Wisc 47 ALABAMA Penalty, Offensive Holding (Dakota Ball) declined"
Wisconsin,Alabama,"Jake Coker pass complete to ArDarius Stewart for 13 yds to the Wisc 28 for a 1ST down WISCONSIN Penalty, Substitution Infraction ( Yards) declined for a 1ST down"
Wisconsin,Alabama,"Jake Coker pass complete to Richard Mullaney for 16 yds to the Wisc 32 for a 1ST down WISCONSIN Penalty, Defensive Offside (Vince Biegel) declined for a 1ST down"
Clemson,Alabama,"Jake Coker sacked by Kevin Dodd for a loss of 7 yards to the Alab 19 ALABAMA Penalty, Offensive Holding (Dominick Jackson) declined"
Clemson,Alabama,"Derrick Henry run for 4 yds to the Alab 25 ALABAMA Penalty, Offensive Holding (Dominick Jackson) declined"
Middle Tennessee,Alabama,"Jake Coker pass incomplete to ArDarius Stewart ALABAMA Penalty, Offensive Holding (Dominick Jackson) declined"
Alabama,Middle Tennessee,"Brent Stockstill pass incomplete to Ed'Marques Batties MIDDLE TENN Penalty, Ineligible Downfield on Pass ( Yards) declined"
Alabama,Middle Tennessee,"Shane Tucker run for no gain to the MTnSt 8 MIDDLE TENN Penalty, Illegal Formation ( Yards) declined"
Alabama,Texas A&M,"Kyle Allen pass complete to Christian Kirk for 22 yds to the 50 yard line for a 1ST down ALABAMA Penalty, Substitution Infraction ( Yards) declined for a 1ST down"
