Minnesota;#7A0019;#FFCC33;(MINNESOTA|MINN|MIN|UMN);MINNESOTA;MINN;MIN;UMN;;;;
Mississippi State;#660000;#CCCCCC;(MISSISSIPPI ST|MISSSTATE|MisSt|MS State|MSSTATE|MSU|MS);MISSISSIPPI ST;MISSSTATE;MisSt;MS State;MSSTATE;MSU;MS;
Mississippi Valley State;#046A38;#FFFFFF;(MISS VALLEY ST|MVSU);MISS VALLEY ST;MVSU;;;;;;
Missouri;#000000;#F1B82D;(MISSOURI|Misso|MIZ|MU);MISSOURI;Misso;MIZ;MU;;;;
Missouri State;#5E0009;#000000;(MSU|MISSOURI ST);MSU;MISSOURI ST;;;;;;
Monmouth;#041E42;#53565A;(MONMOUTH|MU);MONMOUTH;MU;;;;;;
Montana;#660033;#999999;(MONTANA|UM);MONTANA;UM;;;;;;
Montana State;#00205B;#B9975B;(MONTANA ST|MntSt|MTnSt|MSU);MONTANA ST;MntSt;MTnSt;MSU;;;;
Morgan State;#1B4383;#F47937;(MORGAN ST|MSU);MORGAN ST;MSU;;;;;;
Murray State;#ECAC00;#002144;(MURRAY ST|MURRAYST|MUR);MURRAY ST;MURRAYST;MUR;;;;;
Navy;#00205B;#C5B783;(NAVY|Navy|NAV);NAVY;Navy;NAV;;;;;
NC State;#CC0000;#000000;(NC STATE|NCSTATE|NCS|ST);NC STATE;NCSTATE;NCS;ST;;;;
Nebraska;#E41C38;#000000;(NEBRASKA|NEB|Neb);NEBRASKA;NEB;Neb;;;;;
Nevada;#003366;#807F84;(NEVADA|Nevad|NEV|NV|UNR);NEVADA;Nevad;NEV;NV;UNR;;;
New Hampshire;#041E42;#BBBCBC;(NEW HAMPSHIRE|UNH);NEW HAMPSHIRE;UNH;;;;;;
New Mexico;#BA0C2F;#A7A8AA;(NEW MEXICO|NMex|NM|NEWMEXICO|UNM);NEW MEXICO;NMex;NM;NEWMEXICO;UNM;;;
New Mexico State;#861F41;#000000;(NEWMEXST|NEW MEXICO ST|NMxSt|NMS[Tt]|NMSU|NMS);NEWMEXST;NEW MEXICO ST;NMxSt;NMS[Tt];NMSU;NMS;;
Nicholls;#AE132A;#72808A;(NICHOLLS ST|NICHOLLS|NICH|NIC|NSU);NICHOLLS ST;NICHOLLS;NICH;NIC;NSU;;;
Norfolk State;#007A53;#F3D03E;(NORFOLK ST|NSU);NORFOLK ST;NSU;;;;;;
North Alabama;#46166B;#DB9F11;(NORTH ALABAMA|UNA|NORTHALA);NORTH ALABAMA;UNA;NORTHALA;;;;;
North Carolina;#7BAFD4;#8D9092;(NORTH CAROLINA|UNC|NC|NCaro);NORTH CAROLINA;UNC;NC;NCaro;;;;
North Carolina A&T;#F3B237;#003D6D;(NC A&T|NCAT|A&T|NCCU);NC A&T;NCAT;A&T;NCCU;;;;
North Carolina Central;#862633;#898D8D;(NC CENTRAL|NCCtl|NCCU);NC CENTRAL;NCCtl;NCCU;;;;;
North Dakota;#009A44;#AAAEAD;(NORTH DAKOTA|UND);NORTH DAKOTA;UND;;;;;;
North Dakota State;#0A5640;#FFC72A;(NO DAKOTA ST|NDSU|NDkSt);NO DAKOTA ST;NDSU;NDkSt;;;;;
North Texas;#00853E;#000000;(NORTH TEXAS|UNT|NORTHTEXAS|NT|NoTex);NORTH TEXAS;UNT;NORTHTEXAS;NT;NoTex;;;
Northern Arizona;#003466;#FFD200;(NAU|NORTHRN ARIZONA);NAU;NORTHRN ARIZONA;;;;;;
Northern Colorado;#013C65;#F6B000;(NORTHERN COLO|UNCO|NC|UNC);NORTHERN COLO;UNCO;NC;UNC;;;;
Northern Illinois;#BA0C2F;#8A8D8F;(NORTHERNIL|NIU);NORTHERNIL;NIU;;;;;;
Northern Iowa;#4B116F;#FFCC00;(NORTHERN IOWA|UNI|NORTHIOWA);NORTHERN IOWA;UNI;NORTHIOWA;;;;;
Northwestern;#4E2A84;#FFFFFF;(NORTHWESTERN|NORTHWSTRN|NWU|NOR|NU|Nwest);NORTHWESTERN;NORTHWSTRN;NWU;NOR;NU;Nwest;;
Northwestern State;#492F92;#F78426;(NORTHWESTERN ST|NSU|NWSTATE|NWST|NWLA|NWSt);NORTHWESTERN ST;NSU;NWSTATE;NWST;NWLA;NWSt;;
Notre Dame;#0C2340;#C99700;(NOTRE DAME|NOTREDAME|NDAME|NDame|ND|UND);NOTRE DAME;NOTREDAME;NDAME;NDame;ND;UND;;
Ohio;#00694E;#CDA077;(OHIO|Ohio|OU|OHI);OHIO;Ohio;OU;OHI;;;;
Ohio State;#BB0000;#666666;(OHIO STATE|OHIO ST|OHIOST|OHIO|OSU|OhSt);OHIO STATE;OHIO ST;OHIOST;OHIO;OSU;OhSt;;
Oklahoma;#841617;#FDF9D8;(OKLAHOMA|OU|Okla|OKL);OKLAHOMA;OU;Okla;OKL;;;;
Oklahoma State;#FF7300;#000000;(OKLAHOMA ST|OKLAST|OSU|OKSt);OKLAHOMA ST;OKLAST;OSU;OKSt;;;;
Old Dominion;#003057;#7C878E;(OLDDOMNION|OLDDOMINION|ODU);OLDDOMNION;OLDDOMINION;ODU;;;;;
