Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Louisiana Monroe,Alabama,4,1,27,2,Rush,53,10,1,47,false,Louisiana Monroe,4:48,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104955e17,SEC,63,3,Jamarion Miller run for 1 yd to the LaMon 46,2022-09-17T23:16:41.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,false,Jamarion Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,27,3,Rush,54,9,25,46,false,Louisiana Monroe,4:40,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104956e17,SEC,63,3,Jamarion Miller run for 25 yds to the LaMon 21 for a 1ST down,2022-09-17T23:16:52.000Z,2022,3,regular,neither,6.3,Successful,true,false,Jamarion Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,27,4,Rush,79,10,2,21,false,Louisiana Monroe,3:44,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104966e17,SEC,63,3,Jonathan Bennett run for 2 yds to the LaMon 19,2022-09-17T23:17:45.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,false,Jonathan Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,27,5,Rush,81,8,10,19,false,Louisiana Monroe,3:13,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104969e17,SEC,63,3,Jonathan Bennett run for 10 yds to the LaMon 9 for a 1ST down,2022-09-17T23:18:18.000Z,2022,3,regular,neither,5.6,Successful,true,false,Jonathan Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,27,6,Rush,91,9,-1,9,false,Louisiana Monroe,2:22,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104978e17,SEC,63,3,TEAM run for a loss of 1 yard to the LaMon 10,2022-09-17T23:19:09.000Z,2022,3,regular,neither,4.5,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,27,7,Rush,90,10,-1,10,false,Louisiana Monroe,1:39,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104986e17,SEC,63,3,TEAM run for a loss of 1 yard to the LaMon 11,2022-09-17T23:19:54.000Z,2022,3,regular,neither,7.0,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,3,27,8,Rush,89,11,-1,11,false,Louisiana Monroe,1:00,Sun Belt,7,1,40140388027,401403880,Alabama,4.0140388010499e17,SEC,63,3,TEAM run for a loss of 1 yard to the LaMon 12,2022-09-17T23:20:32.000Z,2022,3,regular,neither,11,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,4,27,9,Rush,88,12,-1,12,false,Louisiana Monroe,1:00,Sun Belt,7,1,40140388027,401403880,Alabama,4.0140388010499e17,SEC,63,3,TEAM run for a loss of 1 yard to the LaMon 13,2022-09-17T23:20:32.000Z,2022,3,regular,neither,12,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,4,27,10,Rush,88,12,-1,12,false,Louisiana Monroe,0:22,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104998e17,SEC,63,3,TEAM run for a loss of 1 yard to the LaMon 13,2022-09-17T23:21:35.000Z,2022,3,regular,neither,12,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,1,28,1,Rush,87,10,-1,87,false,Louisiana Monroe,0:15,SEC,63,3,40140388028,401403880,Alabama,4.01403880104998e17,Sun Belt,7,1,TEAM run for a loss of 1 yard to the LaMon 12,2022-09-17T22:36:57.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,false,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
